Date,location,pm2.5
2020-04-03,Woolloongabba,5.675
2020-04-03,Wynnum North,2.4700000000000000
2020-04-03,Wynnum West,2.4521739130434800
2020-04-04,Brisbane City,4.754166666666670
2020-04-04,Cannon Hill,4.7727272727272700
2020-04-04,Fisherman Island,7.141666666666670
2020-04-04,Hopeland,4.891666666666670
2020-04-04,Lytton,2.3105263157894700
2020-04-04,Miles Airport,6.1875
2020-04-04,Mount Coot-tha,6.0375000000000000
2020-04-04,Rocklea,4.5
2020-04-04,South Brisbane,4.808333333333330
2020-04-04,South Gladstone,2.0166666666666700
2020-04-04,Southport,5.233333333333330
2020-04-04,Springwood,2.6583333333333300
2020-04-04,Tara Region,6.516666666666670
2020-04-04,Woolloongabba,4.658333333333330
2020-04-04,Wynnum North,5.8
2020-04-04,Wynnum West,1.675
2020-04-05,Brisbane City,5.541666666666670
2020-04-05,Cannon Hill,9.095833333333330
2020-04-05,Fisherman Island,7.675
2020-04-05,Hopeland,1.575
2020-04-05,Lytton,9.660869565217390
2020-04-05,Miles Airport,2.0541666666666700
2020-04-05,Mount Coot-tha,5.208333333333330
2020-04-05,Rocklea,5.816666666666670
2020-04-05,South Brisbane,5.8875
2020-04-05,South Gladstone,1.6791666666666700
2020-04-05,Southport,4.658333333333330
2020-04-05,Springwood,8.5375
2020-04-05,Tara Region,2.0208333333333300
2020-04-05,Woolloongabba,6.375
2020-04-05,Wynnum North,6.534782608695650
2020-04-05,Wynnum West,4.725
2020-04-06,Brisbane City,7.233333333333330
2020-04-06,Cannon Hill,6.683333333333330
2020-04-06,Hopeland,0.8208333333333330
2020-04-06,Lytton,8.054545454545460
2020-04-06,Miles Airport,2.3043478260869600
2020-04-06,Mount Coot-tha,5.0625
2020-04-06,Rocklea,9.683333333333330
2020-04-06,South Brisbane,7.240909090909090
2020-04-06,South Gladstone,6.3500000000000000
2020-04-06,Southport,3.4458333333333300
2020-04-06,Springwood,6.829166666666670
2020-04-06,Tara Region,1.6916666666666700
2020-04-06,Woolloongabba,10.558333333333300
2020-04-06,Wynnum North,4.3875
2020-04-06,Wynnum West,4.3875
2020-04-07,Brisbane City,4.429166666666670
2020-04-07,Cannon Hill,3.875
2020-04-07,Hopeland,1.7875000000000000
2020-04-07,Lytton,3.141666666666670
2020-04-07,Miles Airport,1.9291666666666700
2020-04-07,Mount Coot-tha,3.045833333333330
2020-04-07,Rocklea,3.6166666666666700
2020-04-07,South Brisbane,4.95
2020-04-07,South Gladstone,3.6916666666666700
2020-04-07,Southport,4.166666666666670
2020-04-07,Springwood,2.3666666666666700
2020-04-07,Tara Region,1.9916666666666700
2020-04-07,Woolloongabba,3.6916666666666700
2020-04-07,Wynnum North,0.6904761904761910
2020-04-07,Wynnum West,1.625
2020-04-08,Brisbane City,7.991666666666670
2020-04-08,Cannon Hill,8.495833333333330
2020-04-08,Hopeland,3.466666666666670
2020-04-08,Lytton,6.454166666666670
2020-04-08,Miles Airport,3.904166666666670
2020-04-08,Mount Coot-tha,7.5250000000000000
2020-04-08,Rocklea,9.120833333333330
2020-04-08,South Brisbane,8.408333333333330
2020-04-08,South Gladstone,5.8625
2020-04-08,Southport,6.5625
2020-04-08,Springwood,6.25
2020-04-08,Tara Region,4.158333333333330
2020-04-08,Woolloongabba,7.66
